,gen,gen err,DP pre,DP pre err,DP dbn,DP dbn err,DP pos,DP pos err,CD4 spl,CD4 spl err,CD4 negS,CD4 negS err,CD8 spl,CD8 spl err,CD8 negS,CD8 negS err
TRAV13D-2,0.01589,0.0002319661764137177,0.02,0.0005191192622648724,0.01855110351415213,0.000974648407458415,0.01428037693553074,0.0003467803328990546,0.010514622795089346,0.0004511062313571899,0.012616614837849845,0.0010654208641441073,0.018142050105336607,0.0004978542323808826,0.013793103448275862,0.0017929205065370525
TRAV4D-4,0.015753333333333334,0.00023095093883365825,0.022509907529722588,0.0005514075116881281,0.02327685888090091,0.0010942850211067248,0.022906720909958902,0.0004410675328093553,0.026104609963036027,0.0007162507671491552,0.027276765881830298,0.0015778562020899712,0.01229150731988782,0.00040861114120809813,0.018620689655172412,0.0020881394533520045
TRAV4-4/DV10,0.015256666666666667,0.0002272255307284259,0.009656538969616909,0.00035888031722795994,0.011462470464028958,0.0007634589536024774,0.012777616339408028,0.0003277838720104721,0.01340662287169862,0.0005101081260674605,0.012972012438916037,0.0010805121424863973,0.007031386283429277,0.0003082455511230083,0.010344827586206896,0.0015500717850633504
TRAV14-2,0.015026666666666667,0.00022548072628481114,0.02750330250990753,0.0006109928053382888,0.02739932632849027,0.001189628258947821,0.02891776329444975,0.0004970250684038052,0.03552755061000134,0.000839410000143769,0.03065304309195913,0.001675406874676598,0.02014143284623539,0.0005250857228571732,0.022068965517241378,0.00227712284466845
TRAV14D-3/DV8,0.014896666666666667,0.0002244888812721352,0.014464993394980185,0.0004402807653045796,0.013272334221507214,0.0008222586267520956,0.019394744489185937,0.000405152794150411,0.023748874801294697,0.00068238412388974,0.025499777876499333,0.0015242746757957817,0.016384203534479287,0.000472711813415082,0.020689655172413793,0.002203326482168936
TRAV21/DV12,0.01411,0.00021839636825429735,0.045468956406869224,0.0007924376918244291,0.05203358302749987,0.0016589311395517447,0.014687201627298767,0.00035175577138521534,0.01647099381380116,0.0005662628539888727,0.012972012438916037,0.0010805121424863973,0.010412892664009769,0.0003757421971946006,0.011954022988505748,0.0016676035289245816
TRAV6-3,0.013803333333333334,0.00021597735486577016,0.012126816380449141,0.0004026641145105775,0.009702880699813987,0.0007018088407617378,0.015625389181784216,0.00036298427244232885,0.01149139103288453,0.00047182187638144006,0.014038205242114616,0.0011246313952050224,0.013915167129610993,0.00043511079532556794,0.01264367816091954,0.0017156172950487673
TRAV7D-6,0.011063333333333333,0.0001930952327892274,0.013038309114927345,0.000417710729920128,0.013875622140666634,0.0008409889007757786,0.01428037693553074,0.0003467803328990546,0.015513377894394116,0.0005492963165522445,0.01723678365171035,0.001248148886565881,0.010734940890731721,0.00038156919311524505,0.01839080459770115,0.002074975490310972
TRAV6-2,0.010216666666666667,0.00018548177758155872,0.010290620871862615,0.0003705919744003828,0.01005479865265698,0.0007145470795986579,0.011573747353563868,0.0003117750703274907,0.010342251929596077,0.00044735520052482036,0.01181697023545091,0.001030697685277276,0.008614790064812205,0.00034146001149555616,0.0052873563218390806,0.0011054007915905458
TRAV19,0.00987,0.000182276501502525,0.011928665785997357,0.0003993217309731127,0.015031923985722185,0.0008758280044051012,0.0071235833783054505,0.00024405979989061327,0.00846532472755827,0.00040435514411395185,0.006663705019991115,0.0007720178424443201,0.011727922923124405,0.0003990223802479577,0.009195402298850575,0.0014605901595995863
TRAV14D-1,0.009603333333333334,0.00017977353665509692,0.010105680317040951,0.0003672131667002616,0.008647126841285003,0.000662181790704175,0.01300178504711694,0.00033068325833053634,0.013100185777488366,0.0005041683761749894,0.012527765437583296,0.001061616176712934,0.009715121506112206,0.0003628092772550275,0.008275862068965517,0.001385006075919289
TRAV6D-6,0.00907,0.0001746641052611173,0.00655217965653897,0.0002951638086002494,0.008043838922125585,0.0006384738047035912,0.0087010668769978,0.0002699436435449474,0.009499549920517878,0.0004285635747225386,0.010573078631719236,0.0009743429422550993,0.01610241133609758,0.00046856412514282203,0.013333333333333334,0.0017623854726700446
TRAV9N-3,0.00893,0.00017329882573174002,0.007542932628797887,0.00031685017777765894,0.01015534663918355,0.0007181466695667956,0.011573747353563868,0.0003117750703274907,0.007335337942657959,0.0003761904571592251,0.006041759218125277,0.0007348809017869508,0.014559263583054895,0.0004452082975174181,0.010804597701149426,0.0015845037681905053
